Generation,Fitness,Footprint,EndPointError,Cost,Waypoints
0,135.91158493161203,415.76620541669956,0,0,"[{""Position"":{""X"":0.6014193067845643,""Y"":0.0}},{""Position"":{""X"":35.509231057093274,""Y"":0.0}},{""Position"":{""X"":35.509231057093274,""Y"":21.437777581572835}},{""Position"":{""X"":4.952710759663336,""Y"":51.99429787900278}},{""Position"":{""X"":31.02484435322143,""Y"":78.06643147256088}}]"
0,290.97578822374345,584.5294872874492,0,0,"[{""Position"":{""X"":-39.17804857270167,""Y"":39.17804857270168}},{""Position"":{""X"":-27.968179591353277,""Y"":39.17804857270168}},{""Position"":{""X"":-29.788996809698972,""Y"":40.99886579104737}},{""Position"":{""X"":23.063695232592202,""Y"":40.99886579104737}},{""Position"":{""X"":-5.942709682374765,""Y"":70.00527070601434}}]"
0,121.2132036447525,726.3829385434937,0,0,"[{""Position"":{""X"":35.2204080317987,""Y"":35.2204080317987}},{""Position"":{""X"":60.439280919759554,""Y"":60.439280919759554}},{""Position"":{""X"":67.60808564711229,""Y"":67.60808564711229}},{""Position"":{""X"":80.3252729888355,""Y"":80.3252729888355}},{""Position"":{""X"":98.44251123545044,""Y"":98.44251123545044}}]"
0,136.8704776763916,442.6088122212152,0,0,"[{""Position"":{""X"":32.236108396776494,""Y"":0.0}},{""Position"":{""X"":32.236108396776494,""Y"":25.636122416390588}},{""Position"":{""X"":32.236108396776494,""Y"":42.94494337539011}},{""Position"":{""X"":32.236108396776494,""Y"":70.45830676054715}},{""Position"":{""X"":7.287537506719552,""Y"":95.40687765060409}}]"
0,183.89444117546083,444.59255806462807,0,0,"[{""Position"":{""X"":33.084855715005304,""Y"":0.0}},{""Position"":{""X"":13.833697657875131,""Y"":19.251158057130176}},{""Position"":{""X"":13.833697657875133,""Y"":46.883824708354496}},{""Position"":{""X"":13.833697657875133,""Y"":59.68452496860982}},{""Position"":{""X"":13.833697657875135,""Y"":98.72830772967684}}]"
0,187.96945044994354,880.0637896963909,0,0,"[{""Position"":{""X"":-39.59709834305349,""Y"":39.59709834305349}},{""Position"":{""X"":-54.374006772494404,""Y"":54.374006772494404}},{""Position"":{""X"":-58.60662212418035,""Y"":58.60662212418035}},{""Position"":{""X"":-61.276387618533846,""Y"":61.27638761853385}},{""Position"":{""X"":-41.71500543522888,""Y"":61.27638761853385}}]"
0,238.70005807876586,406.07998888244845,0,0,"[{""Position"":{""X"":-25.18044754447936,""Y"":25.180447544479364}},{""Position"":{""X"":7.626144619441252,""Y"":25.180447544479364}},{""Position"":{""X"":35.8897958091555,""Y"":25.180447544479364}},{""Position"":{""X"":0.7243278024428079,""Y"":60.34591555119206}},{""Position"":{""X"":42.30038127192314,""Y"":60.34591555119206}}]"
0,226.87823754549026,559.8098939970754,0,0,"[{""Position"":{""X"":-1.2531766681434897,""Y"":1.25317666814349}},{""Position"":{""X"":-1.2531766681434882,""Y"":25.70427210768714}},{""Position"":{""X"":-1.2531766681434853,""Y"":72.96175889708532}},{""Position"":{""X"":2.1481780422895818,""Y"":76.36311360751839}},{""Position"":{""X"":9.7920012458573,""Y"":76.36311360751839}}]"
0,139.5976044654846,489.0281391386983,0,0,"[{""Position"":{""X"":45.20568068994813,""Y"":0.0}},{""Position"":{""X"":45.20568068994813,""Y"":10.533098442562077}},{""Position"":{""X"":72.26502175715876,""Y"":10.533098442562077}},{""Position"":{""X"":72.26502175715876,""Y"":27.073300597884185}},{""Position"":{""X"":39.092807253463995,""Y"":60.24551510157896}}]"
0,193.7858419418335,714.0629563394155,0,0,"[{""Position"":{""X"":22.74174400080626,""Y"":22.74174400080626}},{""Position"":{""X"":22.741744000806264,""Y"":70.92170510033398}},{""Position"":{""X"":13.875845991224038,""Y"":79.7876031099162}},{""Position"":{""X"":42.95239950336033,""Y"":108.8641566220525}},{""Position"":{""X"":16.56078323937235,""Y"":135.2557728860405}}]"
0,287.37625002861023,777.9574861736675,0,0,"[{""Position"":{""X"":2.1607898431339544E-15,""Y"":35.288376120174085}},{""Position"":{""X"":-37.60452103130322,""Y"":72.89289715147731}},{""Position"":{""X"":15.410545089953715,""Y"":72.89289715147731}},{""Position"":{""X"":49.55786604410904,""Y"":107.04021810563265}},{""Position"":{""X"":49.55786604410904,""Y"":114.07131650023685}}]"
0,156.83028268814087,871.9945879979668,0,0,"[{""Position"":{""X"":1.5531353585257863E-15,""Y"":25.36462528799552}},{""Position"":{""X"":3.6344406215505525E-15,""Y"":59.35491970551821}},{""Position"":{""X"":32.76386336777722,""Y"":92.11878307329542}},{""Position"":{""X"":-5.230607820936335,""Y"":130.11325426200898}},{""Position"":{""X"":-40.35400716780363,""Y"":165.23665360887628}}]"
0,228.04791502952577,742.6862047729413,0,0,"[{""Position"":{""X"":23.078397486329706,""Y"":23.078397486329706}},{""Position"":{""X"":46.61926159818111,""Y"":46.61926159818111}},{""Position"":{""X"":46.61926159818111,""Y"":98.72365092588521}},{""Position"":{""X"":88.5382693514855,""Y"":98.72365092588521}},{""Position"":{""X"":89.91646392760887,""Y"":100.10184550200859}}]"
0,180.29715971946717,785.5338106333535,0,0,"[{""Position"":{""X"":52.01034929354263,""Y"":0.0}},{""Position"":{""X"":57.87057574348294,""Y"":0.0}},{""Position"":{""X"":79.7445031080182,""Y"":0.0}},{""Position"":{""X"":118.22458484921746,""Y"":38.48008174119927}},{""Position"":{""X"":118.22458484921746,""Y"":76.77873098767274}}]"
0,187.34798483848573,860.9782120237343,0,0,"[{""Position"":{""X"":-32.59527727357505,""Y"":32.59527727357506}},{""Position"":{""X"":-32.59527727357505,""Y"":59.391500177506}},{""Position"":{""X"":-32.59527727357505,""Y"":68.77010142518701}},{""Position"":{""X"":-32.59527727357505,""Y"":101.60071032994006}},{""Position"":{""X"":-29.673319681225333,""Y"":104.52266792228977}}]"
0,128.56982415020465,326.9717440312049,0,0,"[{""Position"":{""X"":18.386185636495817,""Y"":18.386185636495817}},{""Position"":{""X"":18.208762358477554,""Y"":18.56360891451408}},{""Position"":{""X"":6.605202439012473,""Y"":30.16716883397916}},{""Position"":{""X"":32.446959334286305,""Y"":56.008925729252994}},{""Position"":{""X"":32.446959334286305,""Y"":57.40510057590362}}]"
0,186.32601714134216,509.7660697229838,0,0,"[{""Position"":{""X"":-18.07901118765802,""Y"":18.07901118765802}},{""Position"":{""X"":-1.9009120711081202,""Y"":34.25711030420791}},{""Position"":{""X"":0.6274039634530513,""Y"":36.785426338769085}},{""Position"":{""X"":-5.430864793109503,""Y"":42.84369509533164}},{""Position"":{""X"":-5.4308647931095,""Y"":88.35498764121711}}]"
0,135.8508677482605,605.6996780491039,0,0,"[{""Position"":{""X"":21.084180691847664,""Y"":0.0}},{""Position"":{""X"":55.01521816737169,""Y"":0.0}},{""Position"":{""X"":55.01521816737169,""Y"":26.74573890377794}},{""Position"":{""X"":104.45877726333396,""Y"":26.74573890377794}},{""Position"":{""X"":94.13882248372494,""Y"":37.06569368338696}}]"
0,229.0677143573761,496.00133546371046,0,0,"[{""Position"":{""X"":31.797816414810168,""Y"":31.797816414810168}},{""Position"":{""X"":53.698500238227204,""Y"":31.797816414810168}},{""Position"":{""X"":46.927557920150086,""Y"":38.56875873288729}},{""Position"":{""X"":61.25580464217522,""Y"":52.897005454912424}},{""Position"":{""X"":61.25580464217522,""Y"":96.02594598348684}}]"
0,76.96648059487343,442.9530224090022,0,0,"[{""Position"":{""X"":1.6948795234557766E-16,""Y"":2.7679483172385995}},{""Position"":{""X"":9.706572114580068E-16,""Y"":15.852035250225878}},{""Position"":{""X"":2.6983265829793356E-15,""Y"":44.067017279725306}},{""Position"":{""X"":3.3674706993568004E-15,""Y"":54.9949700060681}},{""Position"":{""X"":1.3566637826751307,""Y"":54.9949700060681}}]"
0,134.75635967254638,617.6004352040113,0,0,"[{""Position"":{""X"":21.266717886031756,""Y"":21.266717886031756}},{""Position"":{""X"":-10.561891312934094,""Y"":53.09532708499761}},{""Position"":{""X"":25.090277306247508,""Y"":88.74749570417922}},{""Position"":{""X"":34.28249239797408,""Y"":88.74749570417922}},{""Position"":{""X"":51.62293557049939,""Y"":88.74749570417922}}]"
0,178.71897048354148,368.2947804594587,0,0,"[{""Position"":{""X"":-7.751177898838483,""Y"":7.751177898838484}},{""Position"":{""X"":26.628943876575313,""Y"":7.751177898838484}},{""Position"":{""X"":26.628943876575317,""Y"":49.817938976942486}},{""Position"":{""X"":27.379858531596824,""Y"":50.56885363196399}},{""Position"":{""X"":32.61569820491166,""Y"":55.804693305278825}}]"
0,103.05673804283143,975.3305541291624,0,0,"[{""Position"":{""X"":-20.572829163467183,""Y"":20.572829163467187}},{""Position"":{""X"":-40.021559518368406,""Y"":40.02155951836841}},{""Position"":{""X"":-47.256187074208974,""Y"":47.25618707420898}},{""Position"":{""X"":-86.14088462458054,""Y"":86.14088462458054}},{""Position"":{""X"":-105.06488018281928,""Y"":105.06488018281928}}]"
0,191.0021761894226,702.7575593085986,0,0,"[{""Position"":{""X"":1.727348629687964E-15,""Y"":28.209743917848172}},{""Position"":{""X"":-12.798913090159349,""Y"":41.008657008007525}},{""Position"":{""X"":-27.314729825239844,""Y"":55.52447374308802}},{""Position"":{""X"":2.873963627309422,""Y"":85.71316719563728}},{""Position"":{""X"":2.8739636273094247,""Y"":132.20351884836546}}]"
0,274.24447348117826,615.1092610350613,0,0,"[{""Position"":{""X"":19.542400619071177,""Y"":19.542400619071177}},{""Position"":{""X"":41.782422669412355,""Y"":19.542400619071177}},{""Position"":{""X"":75.58239504407308,""Y"":53.3423729937319}},{""Position"":{""X"":80.75399695012001,""Y"":53.3423729937319}},{""Position"":{""X"":107.1062836542198,""Y"":79.69465969783167}}]"
0,82.88911218643189,618.4043191506794,0,0,"[{""Position"":{""X"":1.5510888338045296E-15,""Y"":25.331203002930444}},{""Position"":{""X"":4.689164263589963E-15,""Y"":76.57986395513778}},{""Position"":{""X"":15.217505304578381,""Y"":76.57986395513778}},{""Position"":{""X"":34.754087259697684,""Y"":76.57986395513778}},{""Position"":{""X"":34.754087259697684,""Y"":88.20279762869994}}]"
0,197.23481769561766,898.2129503197539,0,0,"[{""Position"":{""X"":-13.82598095038134,""Y"":13.825980950381341}},{""Position"":{""X"":-50.653644598653486,""Y"":50.65364459865349}},{""Position"":{""X"":-33.91237621168902,""Y"":67.39491298561796}},{""Position"":{""X"":-33.91237621168902,""Y"":106.45499871800332}},{""Position"":{""X"":-46.497589923306265,""Y"":119.04021242962057}}]"
0,91.4311731338501,929.4811504639903,0,0,"[{""Position"":{""X"":1.310457946026259E-15,""Y"":21.401402378851614}},{""Position"":{""X"":4.451008019621296E-15,""Y"":72.6904773314275}},{""Position"":{""X"":6.600104891133358E-15,""Y"":107.78789273329433}},{""Position"":{""X"":8.83497435746604E-15,""Y"":144.28608091112133}},{""Position"":{""X"":50.51006854455417,""Y"":144.28608091112133}}]"
0,181.81166503429412,382.9613805042603,0,0,"[{""Position"":{""X"":17.051299515385395,""Y"":0.0}},{""Position"":{""X"":30.352535120089165,""Y"":13.301235604703768}},{""Position"":{""X"":20.01748512280185,""Y"":23.636285601991084}},{""Position"":{""X"":20.017485122801855,""Y"":68.92243104122855}},{""Position"":{""X"":26.88953322827671,""Y"":68.92243104122855}}]"
0,154.6330551147461,955.4884040273664,0,0,"[{""Position"":{""X"":51.90660451025798,""Y"":0.0}},{""Position"":{""X"":51.90660451025798,""Y"":54.56371391311578}},{""Position"":{""X"":51.90660451025798,""Y"":110.635897457201}},{""Position"":{""X"":51.90660451025798,""Y"":146.20507737402346}},{""Position"":{""X"":22.05912822030609,""Y"":176.05255366397535}}]"
0,189.6207169532776,643.7852917981966,0,0,"[{""Position"":{""X"":19.762388956974114,""Y"":19.762388956974114}},{""Position"":{""X"":19.762388956974114,""Y"":29.873265017234175}},{""Position"":{""X"":48.5184080369973,""Y"":58.62928409725737}},{""Position"":{""X"":87.07952502634022,""Y"":97.19040108660029}},{""Position"":{""X"":48.9936525547168,""Y"":135.27627355822372}}]"
0,228.83823499679565,665.9636105501113,0,0,"[{""Position"":{""X"":3.447650020655467E-16,""Y"":5.630439769337339}},{""Position"":{""X"":19.520160755783508,""Y"":25.150600525120847}},{""Position"":{""X"":49.39182417607088,""Y"":55.02226394540821}},{""Position"":{""X"":103.89806685065022,""Y"":55.02226394540821}},{""Position"":{""X"":123.47090455109335,""Y"":74.59510164585134}}]"
