Generation,Fitness,Footprint,EndPointError,Cost,Waypoints
0,183.15760864019393,412.1678796259987,0,0,"[{""Position"":{""X"":-19.378760480418848,""Y"":19.37876048041885}},{""Position"":{""X"":5.844793811787426,""Y"":19.37876048041885}},{""Position"":{""X"":5.844793811787427,""Y"":39.80643847722295}},{""Position"":{""X"":5.844793811787427,""Y"":43.48073520995039}},{""Position"":{""X"":-4.7299203208019724,""Y"":54.05544934253979}}]"
0,181.702787733078,595.9768068232654,0,0,"[{""Position"":{""X"":30.67284909478987,""Y"":30.67284909478987}},{""Position"":{""X"":60.43820686484689,""Y"":30.67284909478987}},{""Position"":{""X"":60.43820686484689,""Y"":43.91627708752134}},{""Position"":{""X"":97.2277936337509,""Y"":43.91627708752134}},{""Position"":{""X"":102.16718835471976,""Y"":48.855671808490186}}]"
0,189.25778231620788,600.2551016116399,0,0,"[{""Position"":{""X"":8.88688513942555E-16,""Y"":14.513384831631365}},{""Position"":{""X"":-6.365248962487227,""Y"":20.878633794118596}},{""Position"":{""X"":-34.786914059282516,""Y"":49.30029889091389}},{""Position"":{""X"":-14.584662452356703,""Y"":49.30029889091389}},{""Position"":{""X"":-14.5846624523567,""Y"":97.49504871139064}}]"
0,182.54109864234925,459.5966387476003,0,0,"[{""Position"":{""X"":-32.155612620789576,""Y"":32.155612620789576}},{""Position"":{""X"":-26.964399877410678,""Y"":37.346825364168474}},{""Position"":{""X"":8.403379205788795,""Y"":37.346825364168474}},{""Position"":{""X"":22.115595541139015,""Y"":37.346825364168474}},{""Position"":{""X"":31.337981260111448,""Y"":46.56921108314091}}]"
0,230.6051119327545,619.666113971073,0,0,"[{""Position"":{""X"":-25.523377925707717,""Y"":25.52337792570772}},{""Position"":{""X"":-11.621729931230671,""Y"":39.425025920184765}},{""Position"":{""X"":19.03569576608498,""Y"":70.08245161750042}},{""Position"":{""X"":26.790301030821205,""Y"":77.83705688223665}},{""Position"":{""X"":60.13185813331905,""Y"":77.83705688223665}}]"
0,229.24812030792236,692.4948381263064,0,0,"[{""Position"":{""X"":-11.587187553144673,""Y"":11.587187553144675}},{""Position"":{""X"":-11.587187553144672,""Y"":33.99744726671122}},{""Position"":{""X"":8.523937224014182,""Y"":54.10857204387007}},{""Position"":{""X"":43.514070314652685,""Y"":89.09870513450858}},{""Position"":{""X"":76.03360341889902,""Y"":121.61823823875491}}]"
0,87.65065159797669,415.5538534196744,0,0,"[{""Position"":{""X"":22.931712426753236,""Y"":22.931712426753236}},{""Position"":{""X"":28.615455340656922,""Y"":28.615455340656922}},{""Position"":{""X"":19.566997376626716,""Y"":37.66391330468713}},{""Position"":{""X"":54.987793331127314,""Y"":73.08470925918772}},{""Position"":{""X"":31.143039842916277,""Y"":96.92946274739876}}]"
0,138.95096406936645,603.8788945758279,0,0,"[{""Position"":{""X"":23.590560691477833,""Y"":23.590560691477833}},{""Position"":{""X"":48.8696147141911,""Y"":48.8696147141911}},{""Position"":{""X"":63.38390618052439,""Y"":63.38390618052439}},{""Position"":{""X"":33.269631437105204,""Y"":93.4981809239436}},{""Position"":{""X"":14.685908846008306,""Y"":112.0819035150405}}]"
0,177.96776561737062,505.13571870483526,0,0,"[{""Position"":{""X"":19.283461470187014,""Y"":0.0}},{""Position"":{""X"":26.338365714071816,""Y"":7.054904243884802}},{""Position"":{""X"":65.31634736701533,""Y"":46.03288589682831}},{""Position"":{""X"":55.521361357999986,""Y"":55.82787190584365}},{""Position"":{""X"":80.41987069041511,""Y"":55.82787190584365}}]"
0,226.0522060930729,745.7084061620975,0,0,"[{""Position"":{""X"":36.04538035521589,""Y"":36.04538035521589}},{""Position"":{""X"":70.8466939014838,""Y"":36.04538035521589}},{""Position"":{""X"":72.28590229661734,""Y"":36.04538035521589}},{""Position"":{""X"":109.57905857393882,""Y"":73.33853663253737}},{""Position"":{""X"":109.57905857393882,""Y"":97.03584405721986}}]"
0,283.5557179450989,390.16774491451594,0,0,"[{""Position"":{""X"":38.941748368054725,""Y"":0.0}},{""Position"":{""X"":14.332735659163884,""Y"":24.609012708890845}},{""Position"":{""X"":56.61189614235461,""Y"":24.609012708890845}},{""Position"":{""X"":50.68140581854587,""Y"":30.53950303269958}},{""Position"":{""X"":50.68140581854587,""Y"":74.15270654396248}}]"
0,144.90994157791138,737.0483738536486,0,0,"[{""Position"":{""X"":32.73292789129862,""Y"":32.73292789129862}},{""Position"":{""X"":1.787252260814725,""Y"":63.67860352178253}},{""Position"":{""X"":-38.00802284137173,""Y"":103.47387862396899}},{""Position"":{""X"":-13.653116767773017,""Y"":103.47387862396899}},{""Position"":{""X"":-5.050604100042531,""Y"":103.47387862396899}}]"
0,103.66786141395568,903.4503340047684,0,0,"[{""Position"":{""X"":-25.267294570390114,""Y"":25.267294570390117}},{""Position"":{""X"":-16.515713813943023,""Y"":34.01887532683721}},{""Position"":{""X"":-51.273445643247975,""Y"":68.77660715614218}},{""Position"":{""X"":-71.18830705359119,""Y"":88.69146856648538}},{""Position"":{""X"":-36.81445946329161,""Y"":123.06531615678496}}]"
0,187.49227466583253,545.198414090108,0,0,"[{""Position"":{""X"":-17.977861659167633,""Y"":17.977861659167633}},{""Position"":{""X"":0.07497256103975403,""Y"":17.977861659167633}},{""Position"":{""X"":0.07497256103975557,""Y"":43.241658407820076}},{""Position"":{""X"":-15.534943888240612,""Y"":58.851574857100445}},{""Position"":{""X"":15.954731695566355,""Y"":90.34125044090742}}]"
0,180.44300567507744,388.8595466189531,0,0,"[{""Position"":{""X"":7.50441172516581,""Y"":0.0}},{""Position"":{""X"":7.504411725165813,""Y"":42.84072891791882}},{""Position"":{""X"":3.717499730339328,""Y"":46.6276409127453}},{""Position"":{""X"":41.310024801418976,""Y"":46.6276409127453}},{""Position"":{""X"":41.310024801418976,""Y"":47.62860325596505}}]"
0,180.12079725265502,385.7221698843334,0,0,"[{""Position"":{""X"":34.619372975654855,""Y"":0.0}},{""Position"":{""X"":29.07309588406279,""Y"":5.5462770915920645}},{""Position"":{""X"":14.23869240808063,""Y"":20.38068056757423}},{""Position"":{""X"":46.878559705226095,""Y"":53.020547864719695}},{""Position"":{""X"":63.73201755713899,""Y"":53.020547864719695}}]"
0,235.78853650093077,591.0389587858508,0,0,"[{""Position"":{""X"":3.6424243988389238,""Y"":3.6424243988389238}},{""Position"":{""X"":-9.644325261283722,""Y"":16.92917405896157}},{""Position"":{""X"":-9.64432526128372,""Y"":57.331755262056255}},{""Position"":{""X"":-29.086308228036316,""Y"":76.77373822880885}},{""Position"":{""X"":0.11199191062199887,""Y"":76.77373822880885}}]"
0,251.06473093032838,1102.7352814153087,0,0,"[{""Position"":{""X"":-29.57602522060612,""Y"":29.576025220606123}},{""Position"":{""X"":-29.576025220606116,""Y"":73.66706918570134}},{""Position"":{""X"":-63.511543475527404,""Y"":107.60258744062264}},{""Position"":{""X"":-36.582210757674616,""Y"":134.53192015847543}},{""Position"":{""X"":-20.50473938676727,""Y"":150.60939152938278}}]"
0,176.37756900787355,611.3664988049289,0,0,"[{""Position"":{""X"":3.477832667532366,""Y"":3.477832667532366}},{""Position"":{""X"":3.4778326675323674,""Y"":26.878577881223464}},{""Position"":{""X"":3.477832667532369,""Y"":55.77819804611049}},{""Position"":{""X"":39.901351434328134,""Y"":92.20171681290626}},{""Position"":{""X"":55.304257914437294,""Y"":107.60462329301541}}]"
0,231.69202556610108,555.9715631935782,0,0,"[{""Position"":{""X"":26.036362993596413,""Y"":26.036362993596413}},{""Position"":{""X"":68.49276869104848,""Y"":26.036362993596413}},{""Position"":{""X"":83.20269596763667,""Y"":40.74629027018461}},{""Position"":{""X"":67.10288004395814,""Y"":56.84610619386315}},{""Position"":{""X"":54.02643099495691,""Y"":69.92255524286438}}]"
0,112.74710874557495,900.0745988943983,0,0,"[{""Position"":{""X"":-28.136956899850528,""Y"":28.13695689985053}},{""Position"":{""X"":-15.273650578402243,""Y"":41.000263221298816}},{""Position"":{""X"":-46.55073614408332,""Y"":72.2773487869799}},{""Position"":{""X"":-9.253660931898025,""Y"":109.57442399916519}},{""Position"":{""X"":-45.33057919023001,""Y"":145.6513422574972}}]"
0,194.4559003829956,711.6188487634226,0,0,"[{""Position"":{""X"":-20.995705696102974,""Y"":20.995705696102977}},{""Position"":{""X"":6.595638334213561,""Y"":48.58704972641951}},{""Position"":{""X"":24.56652321923105,""Y"":66.55793461143699}},{""Position"":{""X"":24.566523219231055,""Y"":104.59201727672581}},{""Position"":{""X"":-3.8705076810591095,""Y"":133.02904817701597}}]"
0,238.1160794854164,745.0016786358176,0,0,"[{""Position"":{""X"":35.73179412132607,""Y"":35.73179412132607}},{""Position"":{""X"":5.36495973260547,""Y"":66.09862851004667}},{""Position"":{""X"":5.364959732605473,""Y"":112.76260379114362}},{""Position"":{""X"":4.005481876833433,""Y"":114.12208164691566}},{""Position"":{""X"":5.423465767258297,""Y"":114.12208164691566}}]"
0,235.678200212121,561.803453253055,0,0,"[{""Position"":{""X"":6.041822225372096E-16,""Y"":9.867044489200719}},{""Position"":{""X"":-0.41293896109924005,""Y"":10.27998345029996}},{""Position"":{""X"":-7.474923861802403,""Y"":17.341968351003125}},{""Position"":{""X"":-34.27628393262341,""Y"":44.14332842182414}},{""Position"":{""X"":-34.27628393262341,""Y"":88.92469748031009}}]"
