Generation,Fitness,Footprint,EndPointError,Cost,Waypoints
0,84.48995244055986,352.6252657001693,0,0,"[{""Position"":{""X"":1.2158044976012895E-15,""Y"":19.855594257018105}},{""Position"":{""X"":0.39748616776306483,""Y"":19.855594257018105}},{""Position"":{""X"":26.37818060573013,""Y"":19.855594257018105}},{""Position"":{""X"":26.37818060573013,""Y"":30.310397577072564}},{""Position"":{""X"":82.85499463533571,""Y"":30.310397577072564}}]"
0,178.83349499702453,676.0289957906717,0,0,"[{""Position"":{""X"":7.3751623555869195,""Y"":7.3751623555869195}},{""Position"":{""X"":7.375162355586922,""Y"":51.85446561214766}},{""Position"":{""X"":7.375162355586923,""Y"":72.46921626821602}},{""Position"":{""X"":34.69536149579881,""Y"":99.7894154084279}},{""Position"":{""X"":55.0713536867264,""Y"":120.16540759935549}}]"
0,288.4576742172241,841.5332489889506,0,0,"[{""Position"":{""X"":15.52841251414333,""Y"":15.52841251414333}},{""Position"":{""X"":50.36815812177373,""Y"":15.52841251414333}},{""Position"":{""X"":90.03715525828224,""Y"":55.19740965065185}},{""Position"":{""X"":90.03715525828224,""Y"":99.23028819387562}},{""Position"":{""X"":127.71887555952694,""Y"":136.91200849512032}}]"
0,281.7658058002591,716.6594096053509,0,0,"[{""Position"":{""X"":3.3088742175505337E-15,""Y"":54.038016836434814}},{""Position"":{""X"":-19.426183719812432,""Y"":73.46420055624725}},{""Position"":{""X"":-19.28815273779276,""Y"":73.46420055624725}},{""Position"":{""X"":-2.531998629737245,""Y"":90.22035466430276}},{""Position"":{""X"":-2.5319986297372448,""Y"":93.9356095724056}}]"
0,128.91038343310356,661.3950181956991,0,0,"[{""Position"":{""X"":25.957983386275387,""Y"":25.957983386275387}},{""Position"":{""X"":62.10123054093398,""Y"":62.10123054093398}},{""Position"":{""X"":53.34996130594027,""Y"":70.8524997759277}},{""Position"":{""X"":52.75431699769328,""Y"":71.44814408417469}},{""Position"":{""X"":85.88499179786584,""Y"":104.57881888434724}}]"
0,240.53908185958863,668.9149263085048,0,0,"[{""Position"":{""X"":7.780340181994054,""Y"":7.780340181994054}},{""Position"":{""X"":7.780340181994057,""Y"":47.56531412969664}},{""Position"":{""X"":-27.848763239542286,""Y"":83.19441755123299}},{""Position"":{""X"":-9.240284291302526,""Y"":83.19441755123299}},{""Position"":{""X"":-9.240284291302524,""Y"":109.05625181977953}}]"
0,310.0624413251877,783.2922235883879,0,0,"[{""Position"":{""X"":-1.7637397050857544,""Y"":31.30347442626953}},{""Position"":{""X"":-2.149290084838867,""Y"":38.016908168792725}},{""Position"":{""X"":-39.63765907287598,""Y"":22.621695041656494}},{""Position"":{""X"":-123.33404731750488,""Y"":61.522432804107666}},{""Position"":{""X"":10.61988639831543,""Y"":102.56476068496704}}]"
0,285.09107849001884,396.5735650683586,0,0,"[{""Position"":{""X"":39.16830372972892,""Y"":39.16830372972892}},{""Position"":{""X"":44.040859272383095,""Y"":39.16830372972892}},{""Position"":{""X"":33.85396102489129,""Y"":49.35520197722073}},{""Position"":{""X"":33.85396102489129,""Y"":50.58549915088296}},{""Position"":{""X"":-3.941115944302176,""Y"":88.38057612007643}}]"
0,226.69854373931884,635.5240245741727,0,0,"[{""Position"":{""X"":2.2219282174558014E-15,""Y"":36.28684154488942}},{""Position"":{""X"":30.669607972352843,""Y"":66.95644951724226}},{""Position"":{""X"":50.56854472982655,""Y"":66.95644951724226}},{""Position"":{""X"":83.14950457395403,""Y"":66.95644951724226}},{""Position"":{""X"":-30.58892059326172,""Y"":381.6714096069336}}]"
0,286.4576338529587,874.785030487677,0,0,"[{""Position"":{""X"":35.780433871041765,""Y"":35.780433871041765}},{""Position"":{""X"":35.780433871041765,""Y"":87.59137876991988}},{""Position"":{""X"":42.07178000459252,""Y"":93.88272490347063}},{""Position"":{""X"":42.07178000459252,""Y"":141.88266905588262}},{""Position"":{""X"":37.71233004933492,""Y"":146.2421190111402}}]"
0,242.61804583072663,853.5834010211312,0,0,"[{""Position"":{""X"":39.992341046170026,""Y"":39.992341046170026}},{""Position"":{""X"":82.46884760328008,""Y"":39.992341046170026}},{""Position"":{""X"":84.0831389056924,""Y"":41.60663234858234}},{""Position"":{""X"":117.89202983814835,""Y"":41.60663234858234}},{""Position"":{""X"":173.22724246245002,""Y"":41.60663234858234}}]"
