Generation,Fitness,Waypoints
1,300.88902320861814,"[{""Position"":{""X"":30.614191784655308,""Y"":53.88204142339049}},{""Position"":{""X"":101.67804731715476,""Y"":70.72930340012456}},{""Position"":{""X"":39.461458429144145,""Y"":66.15954114851318}},{""Position"":{""X"":-30.556957487222792,""Y"":102.3690333669513}},{""Position"":{""X"":34.79853411475493,""Y"":127.10608454308723}}]"
1,308.6278024673462,"[{""Position"":{""X"":26.10526622115416,""Y"":38.3400214206417}},{""Position"":{""X"":101.67804731715476,""Y"":70.72930340012456}},{""Position"":{""X"":100.38178552125156,""Y"":146.08948353870818}},{""Position"":{""X"":149.095829706601,""Y"":149.20325228403095}},{""Position"":{""X"":153.08363110364868,""Y"":204.35614256814762}}]"
1,294.55800063610076,"[{""Position"":{""X"":22.401012269936786,""Y"":15.060382239472894}},{""Position"":{""X"":36.38678513006673,""Y"":67.39411993815568}},{""Position"":{""X"":16.03153548026608,""Y"":119.30967655913187}},{""Position"":{""X"":-30.556957487222792,""Y"":102.3690333669513}},{""Position"":{""X"":34.79853411475493,""Y"":127.10608454308723}}]"
1,303.14885261058805,"[{""Position"":{""X"":22.401012269936786,""Y"":15.060382239472894}},{""Position"":{""X"":36.38678513006673,""Y"":67.39411993815568}},{""Position"":{""X"":16.03153548026608,""Y"":119.30967655913187}},{""Position"":{""X"":-30.556957487222792,""Y"":102.3690333669513}},{""Position"":{""X"":-9.6724836076906,""Y"":172.79885139284022}}]"
0,0,"[{""Position"":{""X"":21.147145677132084,""Y"":0.0}},{""Position"":{""X"":21.147145677132087,""Y"":69.60445077180556}},{""Position"":{""X"":11.853164369456557,""Y"":78.8984320794811}},{""Position"":{""X"":16.02094365479385,""Y"":78.8984320794811}},{""Position"":{""X"":38.71971494032459,""Y"":78.8984320794811}}]"
2,310.5679682731628,"[{""Position"":{""X"":22.401012269936786,""Y"":15.060382239472894}},{""Position"":{""X"":36.38678513006673,""Y"":67.39411993815568}},{""Position"":{""X"":100.38178552125156,""Y"":146.08948353870818}},{""Position"":{""X"":149.095829706601,""Y"":149.20325228403095}},{""Position"":{""X"":153.08363110364868,""Y"":204.35614256814762}}]"
2,307.12240543365476,"[{""Position"":{""X"":26.10526622115416,""Y"":38.3400214206417}},{""Position"":{""X"":101.67804731715476,""Y"":70.72930340012456}},{""Position"":{""X"":39.461458429144145,""Y"":66.15954114851318}},{""Position"":{""X"":-30.556957487222792,""Y"":102.3690333669513}},{""Position"":{""X"":34.79853411475493,""Y"":127.10608454308723}}]"
2,310.5679682731628,"[{""Position"":{""X"":22.401012269936786,""Y"":15.060382239472894}},{""Position"":{""X"":36.38678513006673,""Y"":67.39411993815568}},{""Position"":{""X"":100.38178552125156,""Y"":146.08948353870818}},{""Position"":{""X"":149.095829706601,""Y"":149.20325228403095}},{""Position"":{""X"":153.08363110364868,""Y"":204.35614256814762}}]"
2,318.075266456604,"[{""Position"":{""X"":30.614191784655308,""Y"":53.88204142339049}},{""Position"":{""X"":101.67804731715476,""Y"":70.72930340012456}},{""Position"":{""X"":39.461458429144145,""Y"":66.15954114851318}},{""Position"":{""X"":70.06250974026553,""Y"":134.5698715770645}},{""Position"":{""X"":-9.6724836076906,""Y"":172.79885139284022}}]"
2,295.7977264404297,"[{""Position"":{""X"":22.401012269936786,""Y"":15.060382239472894}},{""Position"":{""X"":36.38678513006673,""Y"":67.39411993815568}},{""Position"":{""X"":16.03153548026608,""Y"":119.30967655913187}},{""Position"":{""X"":70.06250974026553,""Y"":134.5698715770645}},{""Position"":{""X"":34.79853411475493,""Y"":127.10608454308723}}]"
2,324.2992250442505,"[{""Position"":{""X"":30.614191784655308,""Y"":53.88204142339049}},{""Position"":{""X"":101.67804731715476,""Y"":70.72930340012456}},{""Position"":{""X"":16.03153548026608,""Y"":119.30967655913187}},{""Position"":{""X"":70.06250974026553,""Y"":134.5698715770645}},{""Position"":{""X"":-9.6724836076906,""Y"":172.79885139284022}}]"
2,311.8976713180542,"[{""Position"":{""X"":25.03818683027847,""Y"":23.761169101791662}},{""Position"":{""X"":8.584382240442627,""Y"":80.26648925602161}},{""Position"":{""X"":48.1442149403027,""Y"":95.94612451489061}},{""Position"":{""X"":-30.556957487222792,""Y"":102.3690333669513}},{""Position"":{""X"":-9.6724836076906,""Y"":172.79885139284022}}]"
2,306.22198457717894,"[{""Position"":{""X"":22.401012269936786,""Y"":15.060382239472894}},{""Position"":{""X"":36.38678513006673,""Y"":67.39411993815568}},{""Position"":{""X"":16.03153548026608,""Y"":119.30967655913187}},{""Position"":{""X"":-30.556957487222792,""Y"":102.3690333669513}},{""Position"":{""X"":-9.6724836076906,""Y"":172.79885139284022}}]"
2,315.7132574081421,"[{""Position"":{""X"":26.10526622115416,""Y"":38.3400214206417}},{""Position"":{""X"":101.67804731715476,""Y"":70.72930340012456}},{""Position"":{""X"":39.461458429144145,""Y"":66.15954114851318}},{""Position"":{""X"":-30.556957487222792,""Y"":102.3690333669513}},{""Position"":{""X"":-9.6724836076906,""Y"":172.79885139284022}}]"
2,320.59952011108396,"[{""Position"":{""X"":26.10526622115416,""Y"":38.3400214206417}},{""Position"":{""X"":101.67804731715476,""Y"":70.72930340012456}},{""Position"":{""X"":100.38178552125156,""Y"":146.08948353870818}},{""Position"":{""X"":-30.556957487222792,""Y"":102.3690333669513}},{""Position"":{""X"":34.79853411475493,""Y"":127.10608454308723}}]"
0,0,"[{""Position"":{""X"":21.147145677132084,""Y"":0.0}},{""Position"":{""X"":21.147145677132087,""Y"":69.60445077180556}},{""Position"":{""X"":11.853164369456557,""Y"":78.8984320794811}},{""Position"":{""X"":16.02094365479385,""Y"":78.8984320794811}},{""Position"":{""X"":38.71971494032459,""Y"":78.8984320794811}}]"
3,327.76056413650514,"[{""Position"":{""X"":22.401012269936786,""Y"":15.060382239472894}},{""Position"":{""X"":36.38678513006673,""Y"":67.39411993815568}},{""Position"":{""X"":100.38178552125156,""Y"":146.08948353870818}},{""Position"":{""X"":-30.556957487222792,""Y"":102.3690333669513}},{""Position"":{""X"":-9.6724836076906,""Y"":172.79885139284022}}]"
3,320.59952011108396,"[{""Position"":{""X"":26.10526622115416,""Y"":38.3400214206417}},{""Position"":{""X"":101.67804731715476,""Y"":70.72930340012456}},{""Position"":{""X"":100.38178552125156,""Y"":146.08948353870818}},{""Position"":{""X"":-30.556957487222792,""Y"":102.3690333669513}},{""Position"":{""X"":34.79853411475493,""Y"":127.10608454308723}}]"
3,325.4912696838379,"[{""Position"":{""X"":26.10526622115416,""Y"":38.3400214206417}},{""Position"":{""X"":101.67804731715476,""Y"":70.72930340012456}},{""Position"":{""X"":16.03153548026608,""Y"":119.30967655913187}},{""Position"":{""X"":70.06250974026553,""Y"":134.5698715770645}},{""Position"":{""X"":-9.6724836076906,""Y"":172.79885139284022}}]"
3,294.959192943573,"[{""Position"":{""X"":22.401012269936786,""Y"":15.060382239472894}},{""Position"":{""X"":36.38678513006673,""Y"":67.39411993815568}},{""Position"":{""X"":16.03153548026608,""Y"":119.30967655913187}},{""Position"":{""X"":70.06250974026553,""Y"":134.5698715770645}},{""Position"":{""X"":34.79853411475493,""Y"":127.10608454308723}}]"
3,303.3068193435669,"[{""Position"":{""X"":25.03818683027847,""Y"":23.761169101791662}},{""Position"":{""X"":8.584382240442627,""Y"":80.26648925602161}},{""Position"":{""X"":48.1442149403027,""Y"":95.94612451489061}},{""Position"":{""X"":-30.556957487222792,""Y"":102.3690333669513}},{""Position"":{""X"":34.79853411475493,""Y"":127.10608454308723}}]"
3,316.85288667678833,"[{""Position"":{""X"":22.401012269936786,""Y"":15.060382239472894}},{""Position"":{""X"":36.38678513006673,""Y"":67.39411993815568}},{""Position"":{""X"":16.03153548026608,""Y"":119.30967655913187}},{""Position"":{""X"":149.095829706601,""Y"":149.20325228403095}},{""Position"":{""X"":153.08363110364868,""Y"":204.35614256814762}}]"
