Generation,Fitness,Footprint,EndPointError,Cost,Waypoints
0,132.24672169685363,559.9898028545716,0,0,"[{""Position"":{""X"":24.419952296217957,""Y"":0.0}},{""Position"":{""X"":48.412574835145875,""Y"":0.0}},{""Position"":{""X"":48.412574835145875,""Y"":1.0580262631695287}},{""Position"":{""X"":74.87170320655895,""Y"":1.0580262631695287}},{""Position"":{""X"":99.26198323556568,""Y"":25.448306292176262}}]"
0,203.82667064666748,898.5667750854988,0,0,"[{""Position"":{""X"":-25.789729831492867,""Y"":25.78972983149287}},{""Position"":{""X"":-44.400886066058476,""Y"":44.400886066058476}},{""Position"":{""X"":-18.372949693104914,""Y"":70.42882243901204}},{""Position"":{""X"":-18.37294969310491,""Y"":102.08661902908051}},{""Position"":{""X"":-55.390225841353,""Y"":139.1038951773286}}]"
0,181.4279052257538,402.99592552061995,0,0,"[{""Position"":{""X"":43.29788529282142,""Y"":0.0}},{""Position"":{""X"":18.93576176519879,""Y"":24.362123527622632}},{""Position"":{""X"":15.440324147829859,""Y"":27.857561144991564}},{""Position"":{""X"":40.865123247488384,""Y"":53.28236024465009}},{""Position"":{""X"":67.42455035739391,""Y"":79.84178735455562}}]"
0,244.11570386886598,765.3464568014587,0,0,"[{""Position"":{""X"":2.8041583092651344E-15,""Y"":45.795380532860555}},{""Position"":{""X"":-14.513816702942597,""Y"":60.309197235803154}},{""Position"":{""X"":-37.735147137982885,""Y"":83.53052767084344}},{""Position"":{""X"":0.003382119467225664,""Y"":83.53052767084344}},{""Position"":{""X"":0.0033821194672280872,""Y"":123.10462923401164}}]"
0,183.20891414880754,508.54611038426333,0,0,"[{""Position"":{""X"":1.8195885989841703E-15,""Y"":29.716136934355912}},{""Position"":{""X"":38.70139568449133,""Y"":29.716136934355912}},{""Position"":{""X"":39.990068112885446,""Y"":31.004809362750024}},{""Position"":{""X"":39.990068112885446,""Y"":85.31484511803507}},{""Position"":{""X"":87.63562421996699,""Y"":85.31484511803507}}]"
0,239.45301666259766,804.3459559130171,0,0,"[{""Position"":{""X"":33.31823051630544,""Y"":0.0}},{""Position"":{""X"":33.31823051630544,""Y"":56.010341667562166}},{""Position"":{""X"":58.204006811833366,""Y"":80.89611796309009}},{""Position"":{""X"":103.7915976606998,""Y"":80.89611796309009}},{""Position"":{""X"":133.7836837350221,""Y"":110.88820403741241}}]"
0,229.1386261343956,551.2932011835212,0,0,"[{""Position"":{""X"":48.6025733044982,""Y"":0.0}},{""Position"":{""X"":45.96595796352801,""Y"":2.636615340970186}},{""Position"":{""X"":64.36718199357377,""Y"":2.636615340970186}},{""Position"":{""X"":64.36718199357377,""Y"":35.013257876565355}},{""Position"":{""X"":85.97785493467033,""Y"":56.62393081766192}}]"
0,183.82875452041625,580.4694901334909,0,0,"[{""Position"":{""X"":3.1147176636270214E-15,""Y"":50.86719968231835}},{""Position"":{""X"":56.36367612336582,""Y"":50.86719968231835}},{""Position"":{""X"":60.10906785805537,""Y"":50.86719968231835}},{""Position"":{""X"":52.946143872235496,""Y"":58.03012366813823}},{""Position"":{""X"":100.39328382446311,""Y"":58.03012366813823}}]"
0,132.2150792479515,450.8808166062663,0,0,"[{""Position"":{""X"":-18.273734888059067,""Y"":18.27373488805907}},{""Position"":{""X"":-10.188529408392203,""Y"":26.358940367725936}},{""Position"":{""X"":-8.164333588158987,""Y"":26.358940367725936}},{""Position"":{""X"":24.436884639337144,""Y"":26.358940367725936}},{""Position"":{""X"":74.30704724721926,""Y"":26.358940367725936}}]"
0,209.54061698913574,1022.3195591652866,0,0,"[{""Position"":{""X"":-35.80557123904059,""Y"":35.805571239040596}},{""Position"":{""X"":-35.80557123904059,""Y"":79.57680562260259}},{""Position"":{""X"":-10.739164221857926,""Y"":79.57680562260259}},{""Position"":{""X"":-10.739164221857923,""Y"":131.7620609422978}},{""Position"":{""X"":-40.43043650653425,""Y"":161.45333322697414}}]"
0,185.63295364379883,366.1251565839384,0,0,"[{""Position"":{""X"":15.667635086122083,""Y"":0.0}},{""Position"":{""X"":50.3585278751531,""Y"":0.0}},{""Position"":{""X"":13.942108808689198,""Y"":36.41641906646391}},{""Position"":{""X"":3.105668718381965,""Y"":47.252859156771144}},{""Position"":{""X"":52.47602018583343,""Y"":47.252859156771144}}]"
0,183.32839794158934,626.4702064103874,0,0,"[{""Position"":{""X"":-19.772298298502253,""Y"":19.772298298502257}},{""Position"":{""X"":21.79694838529385,""Y"":19.772298298502257}},{""Position"":{""X"":53.82632977905811,""Y"":51.80167969226652}},{""Position"":{""X"":82.68785283445318,""Y"":80.66320274766159}},{""Position"":{""X"":68.69574011706607,""Y"":94.65531546504872}}]"
