Generation,Fitness,Footprint,EndPointError,Cost,Waypoints
0,180.74331242367626,595.649248079472,0,0,"[{""Position"":{""X"":1.3932191923318543E-17,""Y"":0.22752996101437048}},{""Position"":{""X"":63.11918327266117,""Y"":0.22752996101437048}},{""Position"":{""X"":63.11918327266117,""Y"":45.440705841051425}},{""Position"":{""X"":76.9077219847676,""Y"":59.22924455315786}},{""Position"":{""X"":76.9077219847676,""Y"":59.53035385259099}}]"
0,238.72583285570144,1043.5238120092151,0,0,"[{""Position"":{""X"":53.87124876129413,""Y"":0.0}},{""Position"":{""X"":116.59353811359236,""Y"":0.0}},{""Position"":{""X"":119.13914098266453,""Y"":2.545602869072167}},{""Position"":{""X"":140.88201532890187,""Y"":2.545602869072167}},{""Position"":{""X"":151.74400119050284,""Y"":13.407588730673144}}]"
0,254.84943685531616,1211.8589652686478,0,0,"[{""Position"":{""X"":20.032035549881574,""Y"":20.032035549881574}},{""Position"":{""X"":20.032035549881577,""Y"":90.37327487093935}},{""Position"":{""X"":64.74448621651067,""Y"":135.08572553756844}},{""Position"":{""X"":64.74448621651067,""Y"":191.6943325623598}},{""Position"":{""X"":105.06110832757989,""Y"":191.6943325623598}}]"
0,250.33056755065917,1084.7649525431218,0,0,"[{""Position"":{""X"":-26.194772525401362,""Y"":26.194772525401365}},{""Position"":{""X"":-26.19477252540136,""Y"":83.36006587388454}},{""Position"":{""X"":-54.48982082078014,""Y"":111.65511416926333}},{""Position"":{""X"":-54.48982082078014,""Y"":136.29462839647684}},{""Position"":{""X"":11.88578408138865,""Y"":136.29462839647684}}]"
0,328.5823812484741,1376.463523019826,0,0,"[{""Position"":{""X"":-1.581718921661377,""Y"":67.2225341796875}},{""Position"":{""X"":-34.299145221710205,""Y"":87.28550720214844}},{""Position"":{""X"":-75.25838136672974,""Y"":112.81891250610352}},{""Position"":{""X"":-111.44060564041138,""Y"":150.75425338745117}},{""Position"":{""X"":-161.10770845413208,""Y"":157.74263715744019}}]"
0,305.8702661514282,1006.0687102751584,0,0,"[{""Position"":{""X"":-6.724611759185791,""Y"":-35.462894439697266}},{""Position"":{""X"":-30.683380961418152,""Y"":52.47142219543457}},{""Position"":{""X"":-34.871148467063904,""Y"":90.78232002258301}},{""Position"":{""X"":-71.30799233913422,""Y"":88.21158933639526}},{""Position"":{""X"":-66.67860877513885,""Y"":145.15205335617065}}]"
0,263.31044788360595,1426.5312991579322,0,0,"[{""Position"":{""X"":-49.55448678762006,""Y"":49.55448678762007}},{""Position"":{""X"":-123.9048638343811,""Y"":-108.48647689819336}},{""Position"":{""X"":-348.42145013809204,""Y"":-60.84335708618164}},{""Position"":{""X"":-664.5050683021545,""Y"":-29.526153564453125}},{""Position"":{""X"":-522.8131279945374,""Y"":563.2379455566406}}]"
0,199.3668851852417,847.0790854361061,0,0,"[{""Position"":{""X"":11.252470467966022,""Y"":0.0}},{""Position"":{""X"":11.252470467966024,""Y"":27.828283289863982}},{""Position"":{""X"":81.58167428088277,""Y"":27.828283289863982}},{""Position"":{""X"":129.92861007479513,""Y"":76.17521908377634}},{""Position"":{""X"":129.92861007479513,""Y"":144.15925544927637}}]"
0,200.2170677661896,1192.706459881192,0,0,"[{""Position"":{""X"":2.5296628013488706E-15,""Y"":41.312528691703115}},{""Position"":{""X"":6.329375245005504E-15,""Y"":103.36654208237448}},{""Position"":{""X"":9.290249187045462E-15,""Y"":151.72128312446813}},{""Position"":{""X"":6.01962928570625,""Y"":157.74091241017436}},{""Position"":{""X"":6.0196292857062526,""Y"":197.13188992708763}}]"
0,240.9275802373886,699.7665961789692,0,0,"[{""Position"":{""X"":-8.697268232158622,""Y"":8.697268232158622}},{""Position"":{""X"":-6.973692194493946,""Y"":8.697268232158622}},{""Position"":{""X"":-33.60043759489898,""Y"":35.324013632563656}},{""Position"":{""X"":-33.60043759489898,""Y"":50.867513025445895}},{""Position"":{""X"":-33.60043759489897,""Y"":121.2201124224014}}]"
