X,Y,GenerationNumber,X,Y
0,0,0,100,100
0,0,0,100,100
0,0,0,100,100
0,0,0,100,100
0,0,0,100,100
0,0,0,100,100
0,0,0,100,100
0,0,0,100,100
0,0,0,100,100
0,0,0,100,100
0,0,0,100,100
0,0,0,100,100
0,0,0,100,100
0,0,0,100,100
0,0,0,100,100
0,0,0,100,100
0,0,0,100,100
0,0,0,100,100
0,0,0,100,100
0,0,0,100,100
0,0,0,100,100
0,0,1,100,100
0,0,1,100,100
0,0,1,100,100
0,0,1,100,100
0,0,1,100,100
0,0,1,100,100
0,0,1,100,100
0,0,1,100,100
0,0,1,100,100
0,0,1,100,100
0,0,1,100,100
0,0,1,100,100
0,0,1,100,100
0,0,1,100,100
0,0,1,100,100
0,0,1,100,100
0,0,1,100,100
0,0,1,100,100
0,0,1,100,100
0,0,1,100,100
0,0,0,100,100
0,0,2,100,100
0,0,2,100,100
0,0,2,100,100
0,0,2,100,100
0,0,2,100,100
0,0,2,100,100
0,0,2,100,100
0,0,2,100,100
0,0,2,100,100
0,0,2,100,100
0,0,2,100,100
0,0,2,100,100
0,0,2,100,100
0,0,2,100,100
0,0,2,100,100
0,0,2,100,100
0,0,2,100,100
0,0,2,100,100
0,0,2,100,100
0,0,2,100,100
0,0,0,100,100
0,0,3,100,100
0,0,3,100,100
0,0,3,100,100
0,0,3,100,100
0,0,3,100,100
0,0,3,100,100
0,0,3,100,100
0,0,3,100,100
0,0,3,100,100
0,0,3,100,100
0,0,3,100,100
0,0,3,100,100
0,0,3,100,100
0,0,3,100,100
0,0,3,100,100
0,0,3,100,100
0,0,3,100,100
0,0,3,100,100
0,0,3,100,100
0,0,3,100,100
0,0,0,100,100
0,0,4,100,100
0,0,4,100,100
0,0,4,100,100
0,0,4,100,100
0,0,4,100,100
0,0,4,100,100
0,0,4,100,100
0,0,4,100,100
0,0,4,100,100
0,0,4,100,100
0,0,4,100,100
0,0,4,100,100
0,0,4,100,100
0,0,4,100,100
0,0,4,100,100
0,0,4,100,100
0,0,4,100,100
0,0,4,100,100
0,0,4,100,100
0,0,4,100,100
0,0,0,100,100
0,0,5,100,100
0,0,5,100,100
0,0,5,100,100
0,0,5,100,100
0,0,5,100,100
0,0,5,100,100
0,0,5,100,100
0,0,5,100,100
0,0,5,100,100
0,0,5,100,100
0,0,5,100,100
0,0,5,100,100
0,0,5,100,100
0,0,5,100,100
0,0,5,100,100
0,0,5,100,100
0,0,5,100,100
0,0,5,100,100
0,0,5,100,100
0,0,5,100,100
0,0,0,100,100
0,0,6,100,100
0,0,6,100,100
0,0,6,100,100
0,0,6,100,100
0,0,6,100,100
0,0,6,100,100
0,0,6,100,100
0,0,6,100,100
0,0,6,100,100
0,0,6,100,100
0,0,6,100,100
0,0,6,100,100
0,0,6,100,100
0,0,6,100,100
0,0,6,100,100
0,0,6,100,100
0,0,6,100,100
0,0,6,100,100
0,0,6,100,100
0,0,6,100,100
0,0,0,100,100
0,0,7,100,100
0,0,7,100,100
0,0,7,100,100
0,0,7,100,100
0,0,7,100,100
0,0,7,100,100
0,0,7,100,100
0,0,7,100,100
0,0,7,100,100
0,0,7,100,100
0,0,7,100,100
0,0,7,100,100
0,0,7,100,100
0,0,7,100,100
0,0,7,100,100
0,0,7,100,100
0,0,7,100,100
0,0,7,100,100
0,0,7,100,100
0,0,7,100,100
0,0,0,100,100
0,0,8,100,100
0,0,8,100,100
0,0,8,100,100
0,0,8,100,100
0,0,8,100,100
0,0,8,100,100
0,0,8,100,100
0,0,8,100,100
0,0,8,100,100
0,0,8,100,100
0,0,8,100,100
0,0,8,100,100
0,0,8,100,100
0,0,8,100,100
0,0,8,100,100
0,0,8,100,100
0,0,8,100,100
0,0,8,100,100
0,0,8,100,100
0,0,8,100,100
0,0,0,100,100
0,0,9,100,100
0,0,9,100,100
0,0,9,100,100
0,0,9,100,100
0,0,9,100,100
0,0,9,100,100
0,0,9,100,100
0,0,9,100,100
0,0,9,100,100
0,0,9,100,100
0,0,9,100,100
0,0,9,100,100
0,0,9,100,100
0,0,9,100,100
0,0,9,100,100
0,0,9,100,100
0,0,9,100,100
0,0,9,100,100
0,0,9,100,100
0,0,9,100,100
0,0,0,100,100
0,0,10,100,100
0,0,10,100,100
0,0,10,100,100
0,0,10,100,100
0,0,10,100,100
0,0,10,100,100
0,0,10,100,100
0,0,10,100,100
0,0,10,100,100
0,0,10,100,100
0,0,10,100,100
0,0,10,100,100
0,0,10,100,100
0,0,10,100,100
0,0,10,100,100
0,0,10,100,100
0,0,10,100,100
0,0,10,100,100
0,0,10,100,100
0,0,10,100,100
0,0,0,100,100
0,0,11,100,100
0,0,11,100,100
0,0,11,100,100
0,0,11,100,100
0,0,11,100,100
0,0,11,100,100
0,0,11,100,100
0,0,11,100,100
0,0,11,100,100
0,0,11,100,100
0,0,11,100,100
0,0,11,100,100
0,0,11,100,100
0,0,11,100,100
0,0,11,100,100
0,0,11,100,100
0,0,11,100,100
0,0,11,100,100
0,0,11,100,100
0,0,11,100,100
0,0,0,100,100
0,0,12,100,100
0,0,12,100,100
0,0,12,100,100
0,0,12,100,100
0,0,12,100,100
0,0,12,100,100
0,0,12,100,100
0,0,12,100,100
0,0,12,100,100
0,0,12,100,100
0,0,12,100,100
0,0,12,100,100
0,0,12,100,100
0,0,12,100,100
0,0,12,100,100
0,0,12,100,100
0,0,12,100,100
0,0,12,100,100
0,0,12,100,100
0,0,12,100,100
0,0,0,100,100
0,0,13,100,100
0,0,13,100,100
0,0,13,100,100
0,0,13,100,100
0,0,13,100,100
0,0,13,100,100
0,0,13,100,100
0,0,13,100,100
0,0,13,100,100
0,0,13,100,100
0,0,13,100,100
0,0,13,100,100
0,0,13,100,100
0,0,13,100,100
0,0,13,100,100
0,0,13,100,100
0,0,13,100,100
0,0,13,100,100
0,0,13,100,100
0,0,13,100,100
0,0,0,100,100
0,0,14,100,100
0,0,14,100,100
0,0,14,100,100
0,0,14,100,100
0,0,14,100,100
0,0,14,100,100
0,0,14,100,100
0,0,14,100,100
0,0,14,100,100
0,0,14,100,100
0,0,14,100,100
0,0,14,100,100
0,0,14,100,100
0,0,14,100,100
0,0,14,100,100
0,0,14,100,100
0,0,14,100,100
0,0,14,100,100
0,0,14,100,100
0,0,14,100,100
0,0,0,100,100
0,0,15,100,100
0,0,15,100,100
0,0,15,100,100
0,0,15,100,100
0,0,15,100,100
0,0,15,100,100
0,0,15,100,100
0,0,15,100,100
0,0,15,100,100
0,0,15,100,100
0,0,15,100,100
0,0,15,100,100
0,0,15,100,100
0,0,15,100,100
0,0,15,100,100
0,0,15,100,100
0,0,15,100,100
0,0,15,100,100
0,0,15,100,100
0,0,15,100,100
0,0,0,100,100
0,0,16,100,100
0,0,16,100,100
0,0,16,100,100
0,0,16,100,100
0,0,16,100,100
0,0,16,100,100
0,0,16,100,100
0,0,16,100,100
0,0,16,100,100
0,0,16,100,100
0,0,16,100,100
0,0,16,100,100
0,0,16,100,100
0,0,16,100,100
0,0,16,100,100
0,0,16,100,100
0,0,16,100,100
0,0,16,100,100
0,0,16,100,100
0,0,16,100,100
0,0,0,100,100
0,0,17,100,100
0,0,17,100,100
0,0,17,100,100
0,0,17,100,100
0,0,17,100,100
0,0,17,100,100
0,0,17,100,100
0,0,17,100,100
0,0,17,100,100
0,0,17,100,100
0,0,17,100,100
0,0,17,100,100
0,0,17,100,100
0,0,17,100,100
0,0,17,100,100
0,0,17,100,100
0,0,17,100,100
0,0,17,100,100
0,0,17,100,100
0,0,17,100,100
0,0,0,100,100
0,0,18,100,100
0,0,18,100,100
0,0,18,100,100
0,0,18,100,100
0,0,18,100,100
0,0,18,100,100
0,0,18,100,100
0,0,18,100,100
0,0,18,100,100
0,0,18,100,100
0,0,18,100,100
0,0,18,100,100
0,0,18,100,100
0,0,18,100,100
0,0,18,100,100
0,0,18,100,100
0,0,18,100,100
0,0,18,100,100
0,0,18,100,100
0,0,18,100,100
0,0,0,100,100
0,0,19,100,100
0,0,19,100,100
0,0,19,100,100
0,0,19,100,100
0,0,19,100,100
0,0,19,100,100
0,0,19,100,100
0,0,19,100,100
0,0,19,100,100
0,0,19,100,100
0,0,19,100,100
0,0,19,100,100
0,0,19,100,100
0,0,19,100,100
0,0,19,100,100
0,0,19,100,100
0,0,19,100,100
0,0,19,100,100
0,0,19,100,100
0,0,19,100,100
0,0,0,100,100
0,0,20,100,100
0,0,20,100,100
0,0,20,100,100
0,0,20,100,100
0,0,20,100,100
0,0,20,100,100
0,0,20,100,100
0,0,20,100,100
0,0,20,100,100
0,0,20,100,100
0,0,20,100,100
0,0,20,100,100
0,0,20,100,100
0,0,20,100,100
0,0,20,100,100
0,0,20,100,100
0,0,20,100,100
0,0,20,100,100
0,0,20,100,100
0,0,20,100,100
0,0,0,100,100
