Generation,Fitness,Waypoints
1,235.80650658607482,"[{""Position"":{""X"":233.3794239111315,""Y"":151.99228453673555}},{""Position"":{""X"":46.610634726572115,""Y"":19.34458869824305}},{""Position"":{""X"":93.08850123719833,""Y"":62.536120297744645}},{""Position"":{""X"":87.65199747673113,""Y"":21.41028898256981}},{""Position"":{""X"":85.91526839286763,""Y"":60.524845299070165}}]"
1,238.05327792167662,"[{""Position"":{""X"":-27.484313687180116,""Y"":27.48431368718012}},{""Position"":{""X"":251.19148706658055,""Y"":337.0356075085056}},{""Position"":{""X"":135.02100257200715,""Y"":165.15897974584024}},{""Position"":{""X"":371.8314786170018,""Y"":442.31375202069296}},{""Position"":{""X"":55.789041658276304,""Y"":123.55012975333146}}]"
1,301.8953359603882,"[{""Position"":{""X"":233.3794239111315,""Y"":151.99228453673555}},{""Position"":{""X"":92.59473780803415,""Y"":111.06091617330699}},{""Position"":{""X"":88.78648537253655,""Y"":30.593041887536526}},{""Position"":{""X"":91.20208378935841,""Y"":42.6638299949075}},{""Position"":{""X"":140.24099140163017,""Y"":112.75454446365211}}]"
1,293.51586923599245,"[{""Position"":{""X"":233.3794239111315,""Y"":151.99228453673555}},{""Position"":{""X"":92.59473780803415,""Y"":111.06091617330699}},{""Position"":{""X"":93.08850123719833,""Y"":62.536120297744645}},{""Position"":{""X"":87.65199747673113,""Y"":21.41028898256981}},{""Position"":{""X"":431.43883519944836,""Y"":339.81377656540917}}]"
1,196.89621963500977,"[{""Position"":{""X"":10.786129360354058,""Y"":0.0}},{""Position"":{""X"":251.19148706658055,""Y"":337.0356075085056}},{""Position"":{""X"":135.02100257200715,""Y"":165.15897974584024}},{""Position"":{""X"":371.8314786170018,""Y"":442.31375202069296}},{""Position"":{""X"":431.43883519944836,""Y"":339.81377656540917}}]"
1,301.9449798583984,"[{""Position"":{""X"":54.64506163669543,""Y"":44.622093608573735}},{""Position"":{""X"":73.2613102466286,""Y"":60.40660223907386}},{""Position"":{""X"":88.78602117940825,""Y"":63.85768967017003}},{""Position"":{""X"":2.164082760400923,""Y"":143.12720007675384}},{""Position"":{""X"":55.789041658276304,""Y"":123.55012975333146}}]"
1,303.413845205307,"[{""Position"":{""X"":233.3794239111315,""Y"":151.99228453673555}},{""Position"":{""X"":92.59473780803415,""Y"":111.06091617330699}},{""Position"":{""X"":88.78648537253655,""Y"":30.593041887536526}},{""Position"":{""X"":371.8314786170018,""Y"":442.31375202069296}},{""Position"":{""X"":55.789041658276304,""Y"":123.55012975333146}}]"
1,291.2462052822113,"[{""Position"":{""X"":34.93256756920008,""Y"":34.93256756920008}},{""Position"":{""X"":92.08521025313621,""Y"":34.93256756920008}},{""Position"":{""X"":135.02100257200715,""Y"":165.15897974584024}},{""Position"":{""X"":371.8314786170018,""Y"":442.31375202069296}},{""Position"":{""X"":55.789041658276304,""Y"":123.55012975333146}}]"
1,295.76185207366944,"[{""Position"":{""X"":17.965968212585164,""Y"":17.965968212585164}},{""Position"":{""X"":17.965968212585167,""Y"":74.11350243671019}},{""Position"":{""X"":88.78648537253655,""Y"":30.593041887536526}},{""Position"":{""X"":87.65199747673113,""Y"":21.41028898256981}},{""Position"":{""X"":119.75176430698922,""Y"":100.33248611672059}}]"
1,209.61505966186525,"[{""Position"":{""X"":10.786129360354058,""Y"":0.0}},{""Position"":{""X"":251.19148706658055,""Y"":337.0356075085056}},{""Position"":{""X"":135.02100257200715,""Y"":165.15897974584024}},{""Position"":{""X"":371.8314786170018,""Y"":442.31375202069296}},{""Position"":{""X"":8.207150012971278,""Y"":217.63315361393614}}]"
