Generation,Waypoints
2,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":51.641846675514856,""Y"":147.21687035909278}}]"
0,"[{""Position"":{""X"":-18.880186717707765,""Y"":18.880186717707765}},{""Position"":{""X"":25.173124870746598,""Y"":62.93349830616213}},{""Position"":{""X"":34.23156113379483,""Y"":71.99193456921036}},{""Position"":{""X"":31.839467852135332,""Y"":74.38402785086986}},{""Position"":{""X"":53.09538763614371,""Y"":95.63994763487824}}]"
3,"[{""Position"":{""X"":-23.142770543714352,""Y"":23.142770543714356}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":51.641846675514856,""Y"":147.21687035909278}}]"
3,"[{""Position"":{""X"":-26.57693496040384,""Y"":26.576934960403843}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
3,"[{""Position"":{""X"":98.81531774053241,""Y"":97.9696898852756}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":10.447596451646252,""Y"":76.5495598803433}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
3,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
3,"[{""Position"":{""X"":98.81531774053241,""Y"":97.9696898852756}},{""Position"":{""X"":57.91846514334885,""Y"":135.8038377103784}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":10.447596451646252,""Y"":76.5495598803433}},{""Position"":{""X"":56.53523444218694,""Y"":108.53324910428645}}]"
3,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
3,"[{""Position"":{""X"":-26.57693496040384,""Y"":26.576934960403843}},{""Position"":{""X"":4.0825385308043565,""Y"":57.236408451612036}},{""Position"":{""X"":0.2213310204127894,""Y"":61.0976159620036}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
3,"[{""Position"":{""X"":-23.142770543714352,""Y"":23.142770543714356}},{""Position"":{""X"":4.0825385308043565,""Y"":57.236408451612036}},{""Position"":{""X"":0.2213310204127894,""Y"":61.0976159620036}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":51.641846675514856,""Y"":147.21687035909278}}]"
3,"[{""Position"":{""X"":-23.142770543714352,""Y"":23.142770543714356}},{""Position"":{""X"":105.18031609123676,""Y"":37.860168015823334}},{""Position"":{""X"":106.03984526800448,""Y"":38.71969719259106}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":51.641846675514856,""Y"":147.21687035909278}}]"
3,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
0,"[{""Position"":{""X"":-18.880186717707765,""Y"":18.880186717707765}},{""Position"":{""X"":25.173124870746598,""Y"":62.93349830616213}},{""Position"":{""X"":34.23156113379483,""Y"":71.99193456921036}},{""Position"":{""X"":31.839467852135332,""Y"":74.38402785086986}},{""Position"":{""X"":53.09538763614371,""Y"":95.63994763487824}}]"
4,"[{""Position"":{""X"":-26.57693496040384,""Y"":26.576934960403843}},{""Position"":{""X"":4.0825385308043565,""Y"":57.236408451612036}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
4,"[{""Position"":{""X"":98.81531774053241,""Y"":97.9696898852756}},{""Position"":{""X"":57.91846514334885,""Y"":135.8038377103784}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":10.447596451646252,""Y"":76.5495598803433}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
4,"[{""Position"":{""X"":-23.142770543714352,""Y"":23.142770543714356}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":0.2213310204127894,""Y"":61.0976159620036}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
4,"[{""Position"":{""X"":98.81531774053241,""Y"":97.9696898852756}},{""Position"":{""X"":4.0825385308043565,""Y"":57.236408451612036}},{""Position"":{""X"":0.2213310204127894,""Y"":61.0976159620036}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
4,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":10.447596451646252,""Y"":76.5495598803433}},{""Position"":{""X"":56.53523444218694,""Y"":108.53324910428645}}]"
4,"[{""Position"":{""X"":98.81531774053241,""Y"":97.9696898852756}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
4,"[{""Position"":{""X"":-26.57693496040384,""Y"":26.576934960403843}},{""Position"":{""X"":4.0825385308043565,""Y"":57.236408451612036}},{""Position"":{""X"":0.2213310204127894,""Y"":61.0976159620036}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
4,"[{""Position"":{""X"":-23.142770543714352,""Y"":23.142770543714356}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
4,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":34.20743519830449,""Y"":122.4991450379176}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
4,"[{""Position"":{""X"":45.50047451748968,""Y"":0.0}},{""Position"":{""X"":106.0456519708801,""Y"":0.0}},{""Position"":{""X"":153.03870189636763,""Y"":45.39776357693681}},{""Position"":{""X"":225.85292670305154,""Y"":43.27885956074765}},{""Position"":{""X"":23.548869715938732,""Y"":139.97208282124407}}]"
0,"[{""Position"":{""X"":-18.880186717707765,""Y"":18.880186717707765}},{""Position"":{""X"":25.173124870746598,""Y"":62.93349830616213}},{""Position"":{""X"":34.23156113379483,""Y"":71.99193456921036}},{""Position"":{""X"":31.839467852135332,""Y"":74.38402785086986}},{""Position"":{""X"":53.09538763614371,""Y"":95.63994763487824}}]"
